Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,1998,1,Álava,5511,2.0,0.0362910542551261
0-4 años,Hombres,1998,2,Albacete,9483,9.0,0.0949066751028155
0-4 años,Hombres,1998,3,Alicante,36382,38.0,0.1044472541366609
0-4 años,Hombres,1998,4,Almería,13910,16.0,0.1150251617541337
0-4 años,Hombres,1998,5,Ávila,2785,3.0,0.1077199281867145
0-4 años,Hombres,1998,6,Badajoz,15093,12.0,0.0795070562512423
0-4 años,Hombres,1998,7,Baleares,19500,23.0,0.1179487179487179
0-4 años,Hombres,1998,8,Barcelona,99496,130.0,0.1306585189354346
0-4 años,Hombres,1998,9,Burgos,5803,12.0,0.2067895915905566
0-4 años,Hombres,1998,10,Cáceres,8702,13.0,0.1493909446104344
0-4 años,Hombres,1998,11,Cádiz,28678,40.0,0.1394797405676825
0-4 años,Hombres,1998,12,Castellón,10385,8.0,0.0770341839191141
0-4 años,Hombres,1998,13,Ciudad Real,12129,8.0,0.0659576222277187
0-4 años,Hombres,1998,14,Córdoba,19155,36.0,0.1879404855129209
0-4 años,Hombres,1998,15,A Coruña,18693,26.0,0.1390894987428449
0-4 años,Hombres,1998,16,Cuenca,3683,2.0,0.0543035568829758
0-4 años,Hombres,1998,17,Girona,13122,13.0,0.0990702636793171
0-4 años,Hombres,1998,18,Granada,19258,41.0,0.2128985356734863
0-4 años,Hombres,1998,19,Guadalajara,3483,1.0,0.0287108814240597
0-4 años,Hombres,1998,20,Gipuzkoa,12511,20.0,0.1598593237950603
0-4 años,Hombres,1998,21,Huelva,11852,8.0,0.0674991562605467
0-4 años,Hombres,1998,22,Huesca,3852,2.0,0.0519210799584631
0-4 años,Hombres,1998,23,Jaén,20506,24.0,0.1170389154393836
0-4 años,Hombres,1998,24,León,8316,12.0,0.1443001443001443
0-4 años,Hombres,1998,25,Lleida,7590,4.0,0.0527009222661396
0-4 años,Hombres,1998,26,La Rioja,5366,3.0,0.0559075661572866
0-4 años,Hombres,1998,27,Lugo,5328,4.0,0.075075075075075
0-4 años,Hombres,1998,28,Madrid,111336,209.0,0.1877200546094704
0-4 años,Hombres,1998,29,Málaga,29689,61.0,0.2054633029068005
0-4 años,Hombres,1998,30,Murcia,31325,49.0,0.1564245810055866
0-4 años,Hombres,1998,31,Navarra,10510,16.0,0.1522359657469077
0-4 años,Hombres,1998,32,Ourense,5204,12.0,0.2305918524212144
0-4 años,Hombres,1998,33,Asturias,15659,14.0,0.0894054537326776
0-4 años,Hombres,1998,34,Palencia,3162,5.0,0.1581277672359266
0-4 años,Hombres,1998,35,Las Palmas,21266,25.0,0.1175585441549891
0-4 años,Hombres,1998,36,Pontevedra,17682,15.0,0.0848320325755005
0-4 años,Hombres,1998,37,Salamanca,5795,10.0,0.1725625539257981
0-4 años,Hombres,1998,38,Santa Cruz,14584,35.0,0.2399890290729566
0-4 años,Hombres,1998,39,Cantabria,9234,7.0,0.0758068009529997
0-4 años,Hombres,1998,40,Segovia,3061,1.0,0.0326690623979091
0-4 años,Hombres,1998,41,Sevilla,45333,74.0,0.1632364943859881
0-4 años,Hombres,1998,42,Soria,1646,0.0,0.0
0-4 años,Hombres,1998,43,Tarragona,12567,8.0,0.0636587888915413
0-4 años,Hombres,1998,44,Teruel,2651,2.0,0.0754432289701999
0-4 años,Hombres,1998,45,Toledo,13160,7.0,0.0531914893617021
0-4 años,Hombres,1998,46,Valencia,47058,71.0,0.1508776403587062
0-4 años,Hombres,1998,47,Valladolid,8461,10.0,0.1181893393215931
0-4 años,Hombres,1998,48,Bizkaia,20361,40.0,0.1964540052060311
0-4 años,Hombres,1998,49,Zamora,3307,3.0,0.0907166616268521
0-4 años,Hombres,1998,50,Zaragoza,16584,21.0,0.1266280752532561
0-4 años,Hombres,1998,51,Ceuta,2585,7.0,0.2707930367504835
0-4 años,Hombres,1998,52,Melilla,2378,4.0,0.1682085786375105
0-4 años,Hombres,1999,1,Álava,5459,1.0,0.0183183733284484
0-4 años,Hombres,1999,2,Albacete,9402,10.0,0.1063603488619442
0-4 años,Hombres,1999,3,Alicante,32369,50.0,0.1544687818591862
0-4 años,Hombres,1999,4,Almería,13770,17.0,0.1234567901234567
0-4 años,Hombres,1999,5,Ávila,2401,2.0,0.083298625572678
0-4 años,Hombres,1999,6,Badajoz,16173,14.0,0.0865640264638595
