Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Mujeres,1998,1,Álava,5161,6.0,0.1162565394303429
0-4 años,Mujeres,1998,2,Albacete,8851,12.0,0.1355779008021692
0-4 años,Mujeres,1998,3,Alicante,34797,25.0,0.0718452740178751
0-4 años,Mujeres,1998,4,Almería,13830,12.0,0.0867678958785249
0-4 años,Mujeres,1998,5,Ávila,2622,3.0,0.11441647597254
0-4 años,Mujeres,1998,6,Badajoz,15117,10.0,0.0661506912747238
0-4 años,Mujeres,1998,7,Baleares,18510,18.0,0.0972447325769854
0-4 años,Mujeres,1998,8,Barcelona,94027,112.0,0.1191147223669796
0-4 años,Mujeres,1998,9,Burgos,5504,7.0,0.1271802325581395
0-4 años,Mujeres,1998,10,Cáceres,8039,10.0,0.1243935812912053
0-4 años,Mujeres,1998,11,Cádiz,26934,31.0,0.1150961609861142
0-4 años,Mujeres,1998,12,Castellón,9936,6.0,0.0603864734299516
0-4 años,Mujeres,1998,13,Ciudad Real,11317,7.0,0.061853848192984
0-4 años,Mujeres,1998,14,Córdoba,17782,36.0,0.2024519176695534
0-4 años,Mujeres,1998,15,A Coruña,17720,30.0,0.1693002257336343
0-4 años,Mujeres,1998,16,Cuenca,3672,2.0,0.0544662309368191
0-4 años,Mujeres,1998,17,Girona,12370,8.0,0.0646725949878739
0-4 años,Mujeres,1998,18,Granada,18442,22.0,0.1192929183385749
0-4 años,Mujeres,1998,19,Guadalajara,3238,1.0,0.0308832612723903
0-4 años,Mujeres,1998,20,Gipuzkoa,11711,17.0,0.1451626675774912
0-4 años,Mujeres,1998,21,Huelva,10970,11.0,0.1002734731084776
0-4 años,Mujeres,1998,22,Huesca,3644,3.0,0.0823271130625686
0-4 años,Mujeres,1998,23,Jaén,19658,16.0,0.0813917997761725
0-4 años,Mujeres,1998,24,León,7727,7.0,0.090591432638799
0-4 años,Mujeres,1998,25,Lleida,7152,8.0,0.1118568232662192
0-4 años,Mujeres,1998,26,La Rioja,5349,8.0,0.1495606655449616
0-4 años,Mujeres,1998,27,Lugo,5103,6.0,0.1175778953556731
0-4 años,Mujeres,1998,28,Madrid,106261,135.0,0.1270456705658708
0-4 años,Mujeres,1998,29,Málaga,30489,38.0,0.1246351143035193
0-4 años,Mujeres,1998,30,Murcia,29412,45.0,0.1529987760097919
0-4 años,Mujeres,1998,31,Navarra,10061,13.0,0.1292118079713746
0-4 años,Mujeres,1998,32,Ourense,4807,7.0,0.1456209694195964
0-4 años,Mujeres,1998,33,Asturias,14834,14.0,0.0943777807738978
0-4 años,Mujeres,1998,34,Palencia,3164,0.0,0.0
0-4 años,Mujeres,1998,35,Las Palmas,22234,29.0,0.1304308716380318
0-4 años,Mujeres,1998,36,Pontevedra,16688,15.0,0.0898849472674976
0-4 años,Mujeres,1998,37,Salamanca,5485,5.0,0.0911577028258887
0-4 años,Mujeres,1998,38,Santa Cruz,13953,17.0,0.121837597649251
0-4 años,Mujeres,1998,39,Cantabria,8627,8.0,0.0927321200880955
0-4 años,Mujeres,1998,40,Segovia,2741,1.0,0.0364830353885443
0-4 años,Mujeres,1998,41,Sevilla,43125,72.0,0.1669565217391304
0-4 años,Mujeres,1998,42,Soria,1562,2.0,0.1280409731113956
0-4 años,Mujeres,1998,43,Tarragona,12019,6.0,0.0499209584824028
0-4 años,Mujeres,1998,44,Teruel,2597,0.0,0.0
0-4 años,Mujeres,1998,45,Toledo,12535,6.0,0.0478659752692461
0-4 años,Mujeres,1998,46,Valencia,43949,55.0,0.1251450544949828
0-4 años,Mujeres,1998,47,Valladolid,8118,9.0,0.1108647450110864
0-4 años,Mujeres,1998,48,Bizkaia,19342,36.0,0.1861234618963912
0-4 años,Mujeres,1998,49,Zamora,3081,1.0,0.0324569944823109
0-4 años,Mujeres,1998,50,Zaragoza,15975,20.0,0.1251956181533646
0-4 años,Mujeres,1998,51,Ceuta,2504,4.0,0.1597444089456869
0-4 años,Mujeres,1998,52,Melilla,2089,6.0,0.2872187649593106
0-4 años,Mujeres,1999,1,Álava,5145,2.0,0.0388726919339164
0-4 años,Mujeres,1999,2,Albacete,8828,4.0,0.0453103760761214
0-4 años,Mujeres,1999,3,Alicante,30367,26.0,0.0856192577468963
0-4 años,Mujeres,1999,4,Almería,13423,14.0,0.1042985919690084
0-4 años,Mujeres,1999,5,Ávila,2278,2.0,0.0877963125548726
0-4 años,Mujeres,1999,6,Badajoz,16255,13.0,0.0799753921870193
0-4 años,Mujeres,1999,7,Baleares,18576,19.0,0.1022825150732127
0-4 años,Mujeres,1999,8,Barcelona,96935,123.0,0.1268891525248878
0-4 años,Mujeres,1999,9,Burgos,5420,4.0,0.07380073800738
0-4 años,Mujeres,1999,10,Cáceres,6702,8.0,0.1193673530289465
0-4 años,Mujeres,1999,11,Cádiz,28514,22.0,0.0771550817142456
0-4 años,Mujeres,1999,12,Castellón,9891,5.0,0.0505510059650187
0-4 años,Mujeres,1999,13,Ciudad Real,10597,6.0,0.0566197980560536
0-4 años,Mujeres,1999,14,Córdoba,18793,31.0,0.1649550364497419
0-4 años,Mujeres,1999,15,A Coruña,17434,14.0,0.0803028564873236
0-4 años,Mujeres,1999,16,Cuenca,3933,1.0,0.0254258835494533
0-4 años,Mujeres,1999,17,Girona,12359,14.0,0.113277773282628
0-4 años,Mujeres,1999,18,Granada,18148,40.0,0.2204099625303063
0-4 años,Mujeres,1999,19,Guadalajara,3271,0.0,0.0
0-4 años,Mujeres,1999,20,Gipuzkoa,13407,9.0,0.067129111658089
0-4 años,Mujeres,1999,21,Huelva,10573,4.0,0.0378322141303319
0-4 años,Mujeres,1999,22,Huesca,3701,5.0,0.1350986219940556
0-4 años,Mujeres,1999,23,Jaén,16104,14.0,0.0869349230004967
0-4 años,Mujeres,1999,24,León,7230,6.0,0.0829875518672199
0-4 años,Mujeres,1999,25,Lleida,6853,2.0,0.0291842988472201
0-4 años,Mujeres,1999,26,La Rioja,5063,4.0,0.0790045427612087
0-4 años,Mujeres,1999,27,Lugo,4820,4.0,0.0829875518672199
0-4 años,Mujeres,1999,28,Madrid,103810,156.0,0.1502745400250457
0-4 años,Mujeres,1999,29,Málaga,31605,55.0,0.1740230976111375
0-4 años,Mujeres,1999,30,Murcia,29532,46.0,0.1557632398753894
0-4 años,Mujeres,1999,31,Navarra,11459,6.0,0.0523605899293132
0-4 años,Mujeres,1999,32,Ourense,4539,3.0,0.0660938532716457
0-4 años,Mujeres,1999,33,Asturias,14060,18.0,0.1280227596017069
0-4 años,Mujeres,1999,34,Palencia,3014,3.0,0.099535500995355
0-4 años,Mujeres,1999,35,Las Palmas,22330,29.0,0.1298701298701298
0-4 años,Mujeres,1999,36,Pontevedra,15713,9.0,0.0572774136065678
0-4 años,Mujeres,1999,37,Salamanca,5582,8.0,0.1433178072375492
0-4 años,Mujeres,1999,38,Santa Cruz,12512,25.0,0.1998081841432225
0-4 años,Mujeres,1999,39,Cantabria,8429,5.0,0.0593190176770672
0-4 años,Mujeres,1999,40,Segovia,2660,0.0,0.0
0-4 años,Mujeres,1999,41,Sevilla,42220,60.0,0.1421127427759355
0-4 años,Mujeres,1999,42,Soria,1496,2.0,0.1336898395721925
0-4 años,Mujeres,1999,43,Tarragona,12537,16.0,0.1276222381750019
0-4 años,Mujeres,1999,44,Teruel,2492,2.0,0.0802568218298555
0-4 años,Mujeres,1999,45,Toledo,11700,7.0,0.0598290598290598
0-4 años,Mujeres,1999,46,Valencia,43796,47.0,0.1073157365969494
0-4 años,Mujeres,1999,47,Valladolid,8472,5.0,0.059017941454202
0-4 años,Mujeres,1999,48,Bizkaia,19158,25.0,0.1304937884956676
0-4 años,Mujeres,1999,49,Zamora,2888,1.0,0.0346260387811634
0-4 años,Mujeres,1999,50,Zaragoza,14977,26.0,0.1735995192628697
0-4 años,Mujeres,1999,51,Ceuta,2412,2.0,0.0829187396351575
0-4 años,Mujeres,1999,52,Melilla,1502,5.0,0.3328894806924101
0-4 años,Mujeres,2000,1,Álava,5366,3.0,0.0559075661572866
0-4 años,Mujeres,2000,2,Albacete,8834,11.0,0.1245189042336427
0-4 años,Mujeres,2000,3,Alicante,31044,23.0,0.0740883906713052
0-4 años,Mujeres,2000,4,Almería,13220,14.0,0.1059001512859304
0-4 años,Mujeres,2000,5,Ávila,2052,1.0,0.0487329434697855
0-4 años,Mujeres,2000,6,Badajoz,15022,11.0,0.0732259352949008
0-4 años,Mujeres,2000,7,Baleares,18758,25.0,0.1332764687066851
0-4 años,Mujeres,2000,8,Barcelona,97632,96.0,0.0983284169124877
0-4 años,Mujeres,2000,9,Burgos,5513,5.0,0.0906947215672047
0-4 años,Mujeres,2000,10,Cáceres,5895,8.0,0.1357082273112807
0-4 años,Mujeres,2000,11,Cádiz,27536,32.0,0.1162115049389889
0-4 años,Mujeres,2000,12,Castellón,10075,6.0,0.0595533498759305
0-4 años,Mujeres,2000,13,Ciudad Real,10263,5.0,0.0487186982363831
0-4 años,Mujeres,2000,14,Córdoba,17899,31.0,0.1731940331862115
0-4 años,Mujeres,2000,15,A Coruña,17258,30.0,0.1738324255417777
0-4 años,Mujeres,2000,16,Cuenca,3853,1.0,0.0259538022320269
0-4 años,Mujeres,2000,17,Girona,12699,14.0,0.1102449011733207
0-4 años,Mujeres,2000,18,Granada,15371,22.0,0.1431266671003838
0-4 años,Mujeres,2000,19,Guadalajara,3377,2.0,0.0592241634586911
0-4 años,Mujeres,2000,20,Gipuzkoa,14040,9.0,0.0641025641025641
0-4 años,Mujeres,2000,21,Huelva,9807,7.0,0.0713775874375446
0-4 años,Mujeres,2000,22,Huesca,3680,0.0,0.0
0-4 años,Mujeres,2000,23,Jaén,14639,16.0,0.1092970831340938
0-4 años,Mujeres,2000,24,León,6613,2.0,0.030243459851807
0-4 años,Mujeres,2000,25,Lleida,6833,1.0,0.0146348602370847
0-4 años,Mujeres,2000,26,La Rioja,4910,2.0,0.0407331975560081
0-4 años,Mujeres,2000,27,Lugo,4614,3.0,0.0650195058517555
0-4 años,Mujeres,2000,28,Madrid,104360,165.0,0.1581065542353392
0-4 años,Mujeres,2000,29,Málaga,31413,44.0,0.140069398019928
0-4 años,Mujeres,2000,30,Murcia,30327,56.0,0.184653938734461
0-4 años,Mujeres,2000,31,Navarra,11226,10.0,0.0890789239265989
0-4 años,Mujeres,2000,32,Ourense,4540,2.0,0.0440528634361233
0-4 años,Mujeres,2000,33,Asturias,14229,10.0,0.0702790076604118
0-4 años,Mujeres,2000,34,Palencia,2886,2.0,0.0693000693000693
0-4 años,Mujeres,2000,35,Las Palmas,23060,32.0,0.1387684301821335
0-4 años,Mujeres,2000,36,Pontevedra,15434,10.0,0.0647920176234288
0-4 años,Mujeres,2000,37,Salamanca,5413,11.0,0.2032144836504711
0-4 años,Mujeres,2000,38,Santa Cruz,14226,33.0,0.2319696330662168
0-4 años,Mujeres,2000,39,Cantabria,8392,4.0,0.0476644423260247
0-4 años,Mujeres,2000,40,Segovia,2555,1.0,0.0391389432485322
0-4 años,Mujeres,2000,41,Sevilla,43218,56.0,0.1295756397797214
0-4 años,Mujeres,2000,42,Soria,1420,1.0,0.0704225352112676
0-4 años,Mujeres,2000,43,Tarragona,12724,22.0,0.1729016032694121
0-4 años,Mujeres,2000,44,Teruel,2359,1.0,0.0423908435777872
0-4 años,Mujeres,2000,45,Toledo,11410,8.0,0.0701139351446099
0-4 años,Mujeres,2000,46,Valencia,44334,42.0,0.0947354175125186
0-4 años,Mujeres,2000,47,Valladolid,8359,3.0,0.0358894604617777
0-4 años,Mujeres,2000,48,Bizkaia,18975,23.0,0.1212121212121212
0-4 años,Mujeres,2000,49,Zamora,2832,0.0,0.0
0-4 años,Mujeres,2000,50,Zaragoza,15736,23.0,0.1461616675139807
0-4 años,Mujeres,2000,51,Ceuta,2398,1.0,0.0417014178482068
