Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,1998,1,Araba/Álava,5511,2.0,0.03629105425512611
0-4 años,Hombres,1998,2,Albacete,9483,9.0,0.09490667510281556
0-4 años,Hombres,1998,3,Alicante/Alacant,36382,38.0,0.10444725413666098
0-4 años,Hombres,1998,4,Almería,13910,16.0,0.11502516175413371
0-4 años,Hombres,1998,5,Ávila,2785,3.0,0.10771992818671454
0-4 años,Hombres,1998,6,Badajoz,15093,12.0,0.0795070562512423
0-4 años,Hombres,1998,7,"Balears, Illes",19500,23.0,0.11794871794871796
0-4 años,Hombres,1998,8,Barcelona,99496,130.0,0.1306585189354346
0-4 años,Hombres,1998,9,Burgos,5803,12.0,0.2067895915905566
0-4 años,Hombres,1998,10,Cáceres,8702,13.0,0.1493909446104344
0-4 años,Hombres,1998,11,Cádiz,28678,40.0,0.13947974056768253
0-4 años,Hombres,1998,12,Castellón/Castelló,10385,8.0,0.07703418391911411
0-4 años,Hombres,1998,13,Ciudad Real,12129,8.0,0.0659576222277187
0-4 años,Hombres,1998,14,Córdoba,19155,36.0,0.18794048551292092
0-4 años,Hombres,1998,15,"Coruña, A",18693,26.0,0.1390894987428449
0-4 años,Hombres,1998,16,Cuenca,3683,2.0,0.054303556882975834
0-4 años,Hombres,1998,17,Girona,13122,13.0,0.09907026367931718
0-4 años,Hombres,1998,18,Granada,19258,41.0,0.21289853567348632
0-4 años,Hombres,1998,19,Guadalajara,3483,1.0,0.028710881424059722
0-4 años,Hombres,1998,20,Gipuzkoa,12511,20.0,0.15985932379506035
0-4 años,Hombres,1998,21,Huelva,11852,8.0,0.06749915626054674
0-4 años,Hombres,1998,22,Huesca,3852,2.0,0.05192107995846314
0-4 años,Hombres,1998,23,Jaén,20506,24.0,0.1170389154393836
0-4 años,Hombres,1998,24,León,8316,12.0,0.1443001443001443
0-4 años,Hombres,1998,25,Lleida,7590,4.0,0.052700922266139656
0-4 años,Hombres,1998,26,"Rioja, La",5366,3.0,0.05590756615728662
0-4 años,Hombres,1998,27,Lugo,5328,4.0,0.07507507507507508
0-4 años,Hombres,1998,28,Madrid,111336,209.0,0.18772005460947042
0-4 años,Hombres,1998,29,Málaga,29689,61.0,0.2054633029068005
0-4 años,Hombres,1998,30,Murcia,31325,49.0,0.1564245810055866
0-4 años,Hombres,1998,31,Navarra,10510,16.0,0.1522359657469077
0-4 años,Hombres,1998,32,Ourense,5204,12.0,0.23059185242121444
0-4 años,Hombres,1998,33,Asturias,15659,14.0,0.08940545373267769
0-4 años,Hombres,1998,34,Palencia,3162,5.0,0.15812776723592661
0-4 años,Hombres,1998,35,"Palmas, Las",21266,25.0,0.11755854415498918
0-4 años,Hombres,1998,36,Pontevedra,17682,15.0,0.08483203257550051
0-4 años,Hombres,1998,37,Salamanca,5795,10.0,0.1725625539257981
0-4 años,Hombres,1998,38,Santa Cruz de Tenerife,14584,35.0,0.23998902907295666
0-4 años,Hombres,1998,39,Cantabria,9234,7.0,0.07580680095299978
0-4 años,Hombres,1998,40,Segovia,3061,1.0,0.03266906239790918
0-4 años,Hombres,1998,41,Sevilla,45333,74.0,0.16323649438598814
0-4 años,Hombres,1998,42,Soria,1646,0.0,0.0
0-4 años,Hombres,1998,43,Tarragona,12567,8.0,0.06365878889154133
0-4 años,Hombres,1998,44,Teruel,2651,2.0,0.07544322897019992
0-4 años,Hombres,1998,45,Toledo,13160,7.0,0.05319148936170213
0-4 años,Hombres,1998,46,Valencia/València,47058,71.0,0.15087764035870627
0-4 años,Hombres,1998,47,Valladolid,8461,10.0,0.11818933932159319
0-4 años,Hombres,1998,48,Bizkaia,20361,40.0,0.19645400520603112
0-4 años,Hombres,1998,49,Zamora,3307,3.0,0.09071666162685213
